=== Начало записи логов 20250924_134501 ===
🔄 Начало инициализации главного окна...✅ Логирование настроено🔄 Загрузка конфигурации...✅ API ключи загружены из файла C:\Users\vlastelin8\Desktop\trade\crypto\keys✅ API ключи загружены из config.py✅ API ключи загружены из файла C:\Users\vlastelin8\Desktop\trade\crypto\keys✅ Конфигурация валидна✅ Переменные инициализированы🔄 Инициализация UI...✅ UI создан🔄 Применение стилей...✅ Стили применены🔄 Загрузка API ключей в поля ввода...2025-09-24 13:45:01,418 - INFO - API ключи успешно загружены из конфигурации
✅ API ключи загружены в поля ввода🔄 Настройка таймеров автоматического обновления...2025-09-24 13:45:01,418 - INFO - Таймер обновления позиций запущен (интервал: 30 секунд)
2025-09-24 13:45:01,420 - INFO - Таймер проверки подключения запущен (интервал: 60 секунд)
2025-09-24 13:45:01,420 - INFO - Таймер полного обновления данных запущен (интервал: 120 секунд)
2025-09-24 13:45:01,421 - INFO - Таймер обновления тикеров запущен (интервал: 30 секунд)
✅ Таймеры настроены🔄 Запуск торгового потока...🔄 Создание торгового потока...2025-09-24 13:45:01,422 - INFO - Логи сохраняются в файл: C:\Users\vlastelin8\Desktop\trade\crypto\logs\trading_bot_20250924_134501.log
✅ Торговый поток создан🔗 Подключение сигналов...✅ Сигналы подключены🚀 Запуск торгового потока...✅ Торговый поток запущен✅ Главное окно полностью инициализировано2025-09-24 13:45:01,788 - INFO - База данных инициализирована
2025-09-24 13:45:01,788 - INFO - Инициализирован менеджер БД: C:\Users\vlastelin8\Desktop\trade\crypto\data\trading_bot.db
2025-09-24 13:45:01,792 - INFO - 🔍 Начало загрузки моделей...
2025-09-24 13:45:01,793 - INFO - 📁 Проверка файлов: adaptive_ml_models.pkl, adaptive_ml_scalers.pkl, adaptive_ml_performance.json
2025-09-24 13:45:01,793 - INFO - ❌ Файл моделей не найден
2025-09-24 13:45:01,794 - INFO - ❌ Файл скейлеров не найден
2025-09-24 13:45:01,794 - INFO - ❌ Файл статистики не найден
2025-09-24 13:45:01,794 - INFO - ✅ Загрузка моделей завершена
2025-09-24 13:45:01,794 - INFO - Инициализирована ML стратегия: adaptive_ml
2025-09-24 13:45:01,795 - ERROR - Критическая ошибка торгового потока: TickerDataLoader.__init__() got an unexpected keyword argument 'api_client'
2025-09-24 13:45:17,282 - INFO - Останавливаем торговый поток перед закрытием приложения...
2025-09-24 13:45:17,292 - INFO - Остановка торгового потока запрошена
2025-09-24 13:45:17,292 - INFO - Торговый поток остановлен

=== Конец записи логов 20250924_134517 ===
